1000	500000
2,8	15000
2,8	15000
2000	12742000
1000	12742000
30	185000
500	12742000
	
	
	
	
15	60000
900	3000000
1100	2900000
1100	2900000
1100	3000000
16	80000
10	70000
40	740000
55	740000
250	375000
	5000
	5000
20	113000
30	360000
2,1	52000
1000	
36	14000
28	28000
250	500000
104	57000
5	20000
60	80000
20000	12742000
30	185000
1000	210000
5	16000
4	38000
30	30000
90	192000
4	12000
0,7	20000
2,5	27000
8	4000
10	60000
2	10000
15	120000
35	90000
20	117000
20	117000
300	1600000
30	30000
100	50000
100	50000
300	700000
30	30000
30	185000
70	200000
75	310000
505,6	125500
	64000
10000	12742000
1000	12742000
1000	12742000
150	720000
150	720000
	120000
	18000
3	12742000
3	12000
	71000
120	1000000
23,8	100000
250	185000
23,5	141000
23,5	141000
5,8	70000
5	20000
8,2	46600
	900000
300	1150000
1000	2800000
4000	12742000
	
	
175	360000
	2330000
4	15000
78	78000
6,5	78000
32	600000
4	23400
10	290000
6,25	45000
	1360000
12	20000
80	185000
4000	12742000
4000	12742000
200	2000000
1000	2900000
	1500000
20	120000
16	90000
6	70000
6	45000
10	30000
6	52000
6	50000
2500	12742000
1100	3200000
	400000
1	16000
37	151000
	140000
2	10300
	10300
5	20000
32	600000
22	600000
	182000
300	1270000
30	185000
30	185000
560	3000000
	24000
	23400
	30000
	10000
	10000
	10000
	16000
10	60000
10	70000
10	45000
	70000
2,5	30000
10	60000
	30000
10	55000
	70000
8	90000
